timestamp,city,video_index,car,bus,truck,total
1759755056,Colorado,1,7,0,0,7
1759755058,Colorado,1,6,0,0,6
1759755060,Tokyo,0,11,0,0,11
1759755062,New York,2,1,3,0,4
1759755064,New York,2,3,2,1,6
1759755064,Roswell,3,1,0,0,1
1759755067,Roswell,3,0,0,1,1
1759755068,Tokyo,0,5,0,0,5
1759755071,Colorado,1,14,0,0,14
1759755071,Colorado,1,12,0,0,12
1759755074,New York,2,0,2,0,2
1759755074,Tokyo,0,3,0,0,3
1759755077,Roswell,3,1,0,0,1
1759755078,New York,2,0,2,1,3
1759755081,Tokyo,0,1,0,0,1
1759755082,Roswell,3,1,0,0,1
1759755085,Colorado,1,8,0,0,8
1759755087,Colorado,1,8,0,0,8
1759755089,New York,2,1,2,0,3
1759755091,Tokyo,0,1,1,0,2
1759755092,Roswell,3,0,0,0,0
1759755094,New York,2,0,2,0,2
1759755095,Tokyo,0,4,1,0,5
1759755098,Roswell,3,1,0,0,1
1759755098,Colorado,1,5,0,0,5
1759755101,Colorado,1,2,0,1,3
1759755101,New York,2,2,2,0,4
1759755104,Roswell,3,1,0,0,1
1759755104,Tokyo,0,1,1,0,2
1759755107,Tokyo,0,2,1,0,3
1759755108,New York,2,5,2,0,7
1759755110,Colorado,1,5,0,0,5
1759755111,Roswell,3,1,1,1,3
1759755114,New York,2,3,1,0,4
1759755115,Colorado,1,4,0,0,4
1759755117,Roswell,3,3,0,0,3
1759755118,Tokyo,0,2,1,0,3
1759755120,Tokyo,0,2,0,1,3
1759755122,New York,2,5,1,0,6
1759755123,Colorado,1,4,0,1,5
1759755125,Roswell,3,2,0,0,2
1759755126,New York,2,1,4,1,6
1759755128,Colorado,1,4,1,1,6
1759755129,Roswell,3,3,0,0,3
1759755132,Tokyo,0,6,0,0,6
1759755132,Tokyo,0,3,0,0,3
1759755135,Colorado,1,9,0,1,10
1759755135,New York,2,2,3,0,5
1759755138,New York,2,0,3,0,3
1759755138,Roswell,3,1,0,0,1
1759755141,Roswell,3,2,0,0,2
1759755142,Colorado,1,6,0,0,6
1759755144,Tokyo,0,0,0,0,0
1759755145,Tokyo,0,0,0,0,0
1759755147,Colorado,1,7,0,1,8
1759755148,New York,2,2,2,0,4
1759755154,Colorado,1,4,0,0,4
1759755150,New York,2,0,2,0,2
1759755156,Tokyo,0,9,1,0,10
1759755152,Roswell,3,4,0,1,5
1759755157,Colorado,1,8,0,1,9
1759755153,Roswell,3,1,0,0,1
1759755155,Tokyo,0,9,1,0,10
1759755159,New York,2,0,2,0,2
1759755162,New York,2,1,2,0,3
1759755165,Roswell,3,4,0,0,4
1759755167,Roswell,3,4,0,0,4
1759755168,Tokyo,0,11,2,0,13
1759755170,Tokyo,0,10,2,0,12
1759755172,New York,2,1,2,0,3
1759755173,New York,2,1,1,0,2
1759755175,Colorado,1,8,0,0,8
1759755176,Colorado,1,8,0,0,8
1759755178,Roswell,3,3,0,0,3
1759755179,Roswell,3,1,0,0,1
1759755182,Tokyo,0,7,1,0,8
1759755182,Tokyo,0,7,1,0,8
1759755185,New York,2,3,3,0,6
1759755186,New York,2,1,2,0,3
1759755188,Colorado,1,9,0,1,10
1759755189,Colorado,1,9,0,1,10
1759755191,Roswell,3,2,0,0,2
1759755192,Roswell,3,2,0,0,2
1759755195,Tokyo,0,5,0,0,5
1759755195,Tokyo,0,6,0,0,6
1759755197,New York,2,5,3,0,8
1759755198,New York,2,4,4,0,8
1759755200,Colorado,1,7,0,2,9
1759755201,Colorado,1,8,0,2,10
1759755203,Roswell,3,1,0,0,1
1759755205,Roswell,3,2,0,0,2
1759755206,Tokyo,0,8,0,0,8
1759755208,Tokyo,0,5,0,0,5
1759755210,New York,2,2,1,0,3
1759755212,New York,2,1,1,0,2
1759755213,Colorado,1,9,0,0,9
1759755215,Colorado,1,8,0,0,8
1759755216,Roswell,3,1,0,0,1
1759755218,Roswell,3,1,0,0,1
1759755219,Tokyo,0,0,1,0,1
1759755222,Tokyo,0,0,1,0,1
1759755223,New York,2,2,2,0,4
1759755225,Colorado,1,5,1,1,7
1759755225,New York,2,3,3,0,6
1759755228,Roswell,3,2,0,0,2
1759755229,Colorado,1,6,0,0,6
1759755232,Tokyo,0,2,0,0,2
1759755232,Roswell,3,1,0,0,1
1759755235,New York,2,1,2,0,3
1759755236,Tokyo,0,2,0,0,2
1759755238,Colorado,1,9,0,1,10
1759755239,New York,2,1,2,0,3
1759755241,Roswell,3,2,0,0,2
1759755243,Colorado,1,11,0,1,12
1759755245,Tokyo,0,2,0,0,2
1759755246,Roswell,3,2,0,0,2
1759755248,New York,2,0,2,0,2
1759755250,Tokyo,0,2,0,0,2
1759755251,Colorado,1,8,0,1,9
1759755253,New York,2,0,2,0,2
1759755253,Roswell,3,1,0,0,1
1759755256,Tokyo,0,4,0,0,4
1759755257,Colorado,1,8,0,1,9
1759755260,New York,2,1,3,1,5
1759755260,Roswell,3,3,0,0,3
1759755262,Colorado,1,8,0,1,9
1759755263,Tokyo,0,2,0,0,2
1759755265,Roswell,3,3,0,0,3
1759755267,New York,2,1,2,0,3
1759755268,Tokyo,0,5,0,0,5
1759755270,Colorado,1,12,0,1,13
1759755272,New York,2,1,2,0,3
1759755273,Roswell,3,2,0,0,2
1759755275,Colorado,1,13,0,1,14
1759755276,Tokyo,0,3,0,0,3
1759755277,Roswell,3,2,0,0,2
1759755280,New York,2,3,3,0,6
1759755281,Tokyo,0,1,0,0,1
1759755284,Colorado,1,13,0,1,14
1759755284,New York,2,2,2,0,4
1759755287,Roswell,3,2,0,0,2
1759755287,Colorado,1,11,0,2,13
1759755290,Roswell,3,2,0,0,2
1759755291,Tokyo,0,5,0,1,6
1759755293,Tokyo,0,9,0,0,9
1759755294,New York,2,2,0,0,2
1759755297,New York,2,2,0,0,2
1759755297,Colorado,1,5,0,2,7
1759755300,Colorado,1,9,0,0,9
1759755300,Roswell,3,1,0,0,1
1759755303,Roswell,3,2,0,0,2
1759755304,Tokyo,0,12,0,0,12
1759755306,Tokyo,0,13,0,0,13
1759755307,New York,2,4,1,0,5
1759755309,New York,2,1,3,0,4
1759755310,Colorado,1,8,1,0,9
1759755312,Colorado,1,6,0,0,6
1759755314,Roswell,3,1,0,0,1
1759755316,Roswell,3,1,0,0,1
1759755318,Tokyo,0,8,0,1,9
1759755319,Tokyo,0,5,0,2,7
1759755322,New York,2,0,1,0,1
1759755324,New York,2,0,2,0,2
1759755326,Colorado,1,7,0,0,7
1759755327,Colorado,1,9,0,1,10
1759755330,Roswell,3,1,0,0,1
1759755330,Roswell,3,1,0,0,1
1759755334,Tokyo,0,10,0,0,10
1759755334,Tokyo,0,7,0,0,7
1759755337,New York,2,0,1,0,1
1759755337,New York,2,0,2,0,2
1759755340,Colorado,1,6,0,0,6
1759755341,Colorado,1,6,0,0,6
1759755344,Roswell,3,5,0,0,5
1759755345,Roswell,3,2,0,0,2
1759755347,Tokyo,0,9,0,0,9
1759755349,Tokyo,0,8,0,0,8
1759755351,New York,2,0,1,0,1
1759755352,New York,2,0,0,0,0
1759755354,Colorado,1,10,0,0,10
1759755356,Colorado,1,7,0,0,7
1759755357,Roswell,3,1,0,2,3
1759755360,Roswell,3,2,0,2,4
1759755361,Tokyo,0,1,0,0,1
1759755364,Tokyo,0,1,0,0,1
1759755364,New York,2,1,2,0,3
1759755367,Colorado,1,11,0,0,11
1759755367,New York,2,0,2,0,2
1759755370,Roswell,3,2,0,1,3
1759755371,Colorado,1,14,0,0,14
1759755373,Tokyo,0,1,0,0,1
1759755375,Roswell,3,2,0,0,2
1759755377,New York,2,0,1,1,2
1759755380,Tokyo,0,0,0,0,0
1759755382,Colorado,1,10,0,0,10
1759755394,New York,2,2,2,0,4
1759755395,Roswell,3,2,0,0,2
1759755399,Tokyo,0,1,0,0,1
1759755399,Colorado,1,10,0,0,10
1759755403,New York,2,1,2,0,3
1759755403,Roswell,3,3,0,0,3
1759755406,Colorado,1,7,1,0,8
1759755407,Tokyo,0,2,0,0,2
1759755410,Roswell,3,3,0,1,4
1759755413,New York,2,1,2,0,3
1759755415,Tokyo,0,2,0,0,2
1759755417,Colorado,1,5,0,1,6
1759755419,New York,2,2,2,0,4
1759755422,Roswell,3,3,0,0,3
1759755423,Colorado,1,4,0,0,4
1759755427,Roswell,3,3,0,0,3
1759755428,Tokyo,0,1,0,0,1
1759755431,Tokyo,0,7,0,1,8
1759755433,New York,2,3,2,0,5
1759755439,New York,2,1,1,0,2
1759755440,Colorado,1,7,0,1,8
1759755442,Colorado,1,6,0,0,6
1759755444,Roswell,3,2,1,1,4
1759755446,Roswell,3,0,0,0,0
1759755448,Tokyo,0,14,1,0,15
1759755449,Tokyo,0,11,1,0,12
1759755452,New York,2,3,1,0,4
1759755454,New York,2,2,2,0,4
1759755458,Colorado,1,8,0,1,9
1759755458,Colorado,1,7,0,0,7
1759755466,Roswell,3,3,0,1,4
1759755467,Roswell,3,0,0,1,1
1759755470,Tokyo,0,5,2,1,8
1759755472,Tokyo,0,6,0,0,6
1759755476,New York,2,0,1,0,1
1759755477,New York,2,1,1,0,2
1759755479,Colorado,1,4,0,0,4
1759755481,Colorado,1,3,0,0,3
1759755482,Roswell,3,2,0,0,2
1759755484,Roswell,3,1,0,0,1
1759755485,Tokyo,0,3,0,0,3
1759755488,Tokyo,0,2,0,0,2
1759755489,New York,2,1,1,0,2
1759755492,New York,2,1,1,0,2
1759755492,Colorado,1,6,0,0,6
1759755495,Roswell,3,1,0,0,1
1759755497,Colorado,1,8,0,1,9
1759755499,Tokyo,0,2,0,0,2
1759755501,Roswell,3,2,0,0,2
1759755502,New York,2,1,1,0,2
1759755504,Tokyo,0,2,1,0,3
1759755505,Colorado,1,6,0,1,7
1759755507,New York,2,0,1,1,2
1759755508,Roswell,3,1,0,0,1
1759755510,Colorado,1,5,0,0,5
1759755511,Tokyo,0,5,1,0,6
1759755513,Roswell,3,2,0,0,2
1759755514,New York,2,0,2,0,2
1759755516,Tokyo,0,6,1,0,7
1759755516,Colorado,1,2,0,0,2
1759755519,Roswell,3,2,0,0,2
1759755520,New York,2,1,2,0,3
1759755522,Tokyo,0,5,0,0,5
1759755523,Colorado,1,2,0,0,2
1759755525,New York,2,2,2,0,4
1759755526,Roswell,3,1,0,0,1
